"id","ta_abbr","tech_area","cntr_abbr","country","priority"
157,"p1","National legislation, Policy and Financing","AUS","australia","Update legislation and policies to allow for protected information under the Biosecurity Act to be shared with the National IHR Focal Point (IHR NFP)."
158,"p2","IHR Coordination, Communication and Advocacy","AUS","australia","Further empower the IHR NFP in disseminating information to, and consolidating input from, relevant sectors."
159,"p3","Antimicrobial Resistance","AUS","australia","Establish a plan for AMR surveillance and antimicrobial susceptibility testing and reporting in the animal health sector based on risk assessment, and following further assessment, consider including food. Include in the plan the requirement and mechanisms for (1) reporting of AMR in microbial agents from animals to subnational level and DAWR and (2) information sharing between DAWR and DoH."
160,"p4","Zoonotic Disease","AUS","australia","Consider standardizing/aligning laboratory case definitions and typing between human and animal health sectors to enhance data comparison of their surveillance systems."
161,"p5","Food Safety","AUS","australia","Establish a mechanism to engage industry in monitoring and response."
162,"p7","Immunization","AUS","australia","Establish a single National Vaccination Registry that allows for detailed population-based analysis and reporting of vaccination coverage for all ages and at national, state, territory and local levels."
163,"d1","National Laboratory System","AUS","australia","Consider developing mechanisms to support transport of veterinary samples for public health purposes."
164,"d2","Real Time Surveillance","AUS","australia","Promote innovative surveillance methods, including whole genome sequencing."
165,"d3","Reporting","AUS","australia","Enhance the multisectoral joint assessment among agencies on PHEIC notifications to WHO and animal disease notifications to OIE."
166,"d4","Workforce Development","AUS","australia","Develop a long-term strategy that uses current and new channels to increase the international experience of the public health workforce. 40 of IHR Core Capacities of Australia"
167,"r1","Preparedness","AUS","australia","Ensure public health emergency response plans at multiple levels and multiple sectors are linked appropriately and efficiently to facilitate a coordinated response across the country and across the agencies."
168,"r2","Emergency Response Operations","AUS","australia","Assess the feasibility of using the Incident Management System for daily use across the preparedness cycle."
